Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2014","2014","kilotonnes","0.2958","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","0231","Hen eggs in shell, fresh","2014","2014","tonnes","262","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","17.4779","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","kilotonnes","1.1885","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","tonnes","68","I","Imputed value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","F1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.115","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2014","2014","kilotonnes","5651.8606","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","F1718","Cereals excluding rice","2014","2014","tonnes","49143026","E","Estimated value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","0113","Rice","2014","2014","kg CO2eq/kg product","1.3155","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","0113","Rice","2014","2014","kilotonnes","2080.867","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","0113","Rice","2014","2014","tonnes","1581810","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","37.1679","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kilotonnes","99387.0755","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","tonnes","2674000","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","02211","Raw milk of cattle","2014","2014","kg CO2eq/kg product","0.4468","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2014","2014","kilotonnes","4919.6865","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","02211","Raw milk of cattle","2014","2014","tonnes","11009900","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2014","2014","kg CO2eq/kg product","122.7252","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2014","2014","kilotonnes","1028.5597","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21116","Meat of goat, fresh or chilled","2014","2014","tonnes","8381","I","Imputed value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2014","2014","kg CO2eq/kg product","51.7594","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2014","2014","kilotonnes","3123.0588","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21115","Meat of sheep, fresh or chilled","2014","2014","tonnes","60338","A","Official figure"
